Licensee Name,Street,City,State,Zip,Licensee Number,Channel Type,Account Name,RTD Contract,Location
WORLD OF BEER-BETHESDA,7200 WISCONSIN AVE,BETHESDA,MD,20814,BBWLHR26104,On Premise,"WOB BETHESDA, LLC",No,"7200 WISCONSIN AVE
BETHESDA, MD 20814
(38.98152, -77.0935)"
THE GIRL AND THE VINE,7071 CARROLL AVENUE,TAKOMA PARK,MD,20912,BDBWL41020,On/Off-Premise,"KULA HOSPITALITY, LLC",No,"7071 CARROLL AVENUE
TAKOMA PARK, MD 20912
(38.97528, -77.00953)"
CAFE VIA ROMA,911 BONIFANT STREET,SILVER SPRING,MD,20910,BBWLHR1552544,On Premise,ASMARINI LLC,No,"911 BONIFANT STREET
SILVER SPRING, MD 20910
(38.99425, -77.02444)"
WHITE OAK BOWLING LANES,11207 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904,HBWHR35355,On Premise,"WHITE OAK BOWL, LLC",No,"11207 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20904
(39.04059, -76.98998)"
EL GOLFO RESTAURANT,8739 FLOWER AVE,SILVER SPRING,MD,20901,BBWLHR215,On Premise,"EL MEZCAL RESTAURANT, INC.",No,"8739 FLOWER AVE
SILVER SPRING, MD 20901
(38.99944, -77.00369)"
AY! JALISCO,8401 SNOUFFER SCHOOL ROAD,GAITHERSBURG,MD,20879,BBWLHR187,On Premise,"ABI II, INC.",No,"8401 SNOUFFER SCHOOL ROAD
GAITHERSBURG, MD 20879
(39.16728, -77.17223)"
TED'S MONTANA GRILL,105 ELLINGTON BOULEVARD,GAITHERSBURG,MD,20878,BBWLHR21344,On Premise,"TMG OF GAITHERSBURG, LLC",No,"105 ELLINGTON BOULEVARD
GAITHERSBURG, MD 20878
(39.11553, -77.20423)"
PANSA LLENA,"11279 NEW HAMPSHIRE AVE, UNIT A",SILVER SPRING,MD,20904,BBWLHR473,On Premise,"RED GROUP, INC.",No,"11279 NEW HAMPSHIRE AVE, UNIT A
SILVER SPRING, MD 20904
(39.041, -76.99108)"
EL ESTERON RESTAURANT,8500 DAKOTA DRIVE,GAITHERSBURG,MD,20877,DBW134,On/Off-Premise,"EL ESTERON RESTAURANT, INC.",No,"8500 DAKOTA DRIVE
GAITHERSBURG, MD 20877
(39.12726, -77.17505)"
EL GAVILAN RESTAURANT,8805 FLOWER AVE,SILVER SPRING,MD,20901,BBWLHR227,On Premise,ABY & ASSOCIATES LTD.,No,"8805 FLOWER AVE
SILVER SPRING, MD 20901
(38.99994, -77.00369)"
EL NORTENO,8917 BROOKVILLE ROAD,SILVER SPRING,MD,20910,BBWLHR367,On Premise,"DALISSON,LLC",No,"8917 BROOKVILLE ROAD
SILVER SPRING, MD 20910
(39.00221, -77.05285)"
BONEFISH GRILL,82 MARKET STREET,GAITHERSBURG,MD,20878,BBWLHR143,On Premise,"BONEFISH OF GAITHERSBURG, INC.",No,"82 MARKET STREET
GAITHERSBURG, MD 20878
(39.12426, -77.2339)"
KABUTO,1 CHOICE HOTEL CIRCLE,ROCKVILLE,MD,20850,BBWLHR37806,On Premise,"KABU ROCKVILLE, INC.",No,"1 CHOICE HOTEL CIRCLE
ROCKVILLE, MD 20850
(39.08583, -77.14911)"
THE CLARKS LODGE,12011 SNOWDEN FARM PARKWAY,CLARKSBURG,MD,20841,BBWLHR1187495,On Premise,"MS GRILL, INC",No,"12011 SNOWDEN FARM PARKWAY
CLARKSBURG, MD 20841
(39.22862, -77.25069)"
BISCOTTI RESTAURANT,7212 MUNCASTER MILL ROAD,DERWOOD,MD,20855,HBWHR34622,On Premise,"BISCOTTI RESTAURANT, LLC",No,"7212 MUNCASTER MILL ROAD
DERWOOD, MD 20855
(39.14509, -77.14492)"
TAKO GRILL,4914 HAMPDEN LANE,BETHESDA,MD,20814,HBWHR311,On Premise,S.K.O. CORPORATION,No,"4914 HAMPDEN LANE
BETHESDA, MD 20814
(38.98248, -77.09696)"
WHITE OAK CONVENIENCE STORE,11407 LOCKWOOD DRIVE,SILVER SPRING,MD,20904,ABW159,Off Premise,WHITE OAK CONVENIENCE STORE,Yes,"11407 LOCKWOOD DRIVE
SILVER SPRING, MD 20904
(39.04039, -76.9884)"
N-SALUD! BEER & WINE,1173-C UNIVERSITY BLVD,TAKOMA PARK,MD,20912,DBW1220495,Off Premise,"SALUD TAKOMA, LLC",No,"1173-C UNIVERSITY BLVD
TAKOMA PARK, MD 20912
(38.98855, -76.9886)"
SUSHI HOUSE,"1331 ROCKVILLE PIKE, UNIT D",ROCKVILLE,MD,20852,HBW214,On Premise,"SUSHI HOUSE, INC.",No,"1331 ROCKVILLE PIKE, UNIT D
ROCKVILLE, MD 20852
(39.06771, -77.12976)"
TAKOMA BEVERAGE,6917 LAUREL AVENUE,TAKOMA PARK,MD,20912,BDBWLHR26663,On/Off-Premise,"TAKOMA BEVERAGE COMPANY, LLC",No,"6917 LAUREL AVENUE
TAKOMA PARK, MD 20912
(38.97422, -77.01253)"
GRAPE EXPECTATIONS,20207 GOSHEN ROAD,GAITHERSBURG,MD,20879,DBW1516544,On/Off-Premise,"NTMU, INC",Yes,"20207 GOSHEN ROAD
GAITHERSBURG, MD 20879
(39.18798, -77.18519)"
RAKU AN ASIAN DINER,7240 WOODMONT AVE,BETHESDA,MD,20814,BBWLHR263,On Premise,"D.G. HOLDINGS , INC.",No,"7240 WOODMONT AVE
BETHESDA, MD 20814
(38.98159, -77.09586)"
GROG BEER WINE & DELI,513 QUINCE ORCHARD RD UNIT 3,GAITHERSBURG,MD,20878,ABW117,Off Premise,"SWASTIK, INC.",Yes,"513 QUINCE ORCHARD RD UNIT 3
GAITHERSBURG, MD 20878
(39.14438, -77.2203)"
OUTBACK STEAKHOUSE - ASPEN HILL,13703 GEORGIA AVE,SILVER SPRING,MD,20906,BBWLHR472,On Premise,"OUTBACK OF ASPEN HILL, INC.",No,"13703 GEORGIA AVE
SILVER SPRING, MD 20906
(39.08004, -77.07292)"
AMERICAN LEGION POST 268,11225 FERN STREET,SILVER SPRING,MD,20902,CBWLFV002,On Premise,WHEATON POST #268,No,"11225 FERN STREET
SILVER SPRING, MD 20902
(39.03971, -77.04936)"
THE CARNEGIE AT WASHINGTONIAN CENTER,10100 WASHINGTONIAN BOULEVARD,GAITHERSBURG,MD,20878,BBWLHR1258529,On Premise,WELL KISCO THE CARNEGIETENANT LLC,No,"10100 WASHINGTONIAN BOULEVARD
GAITHERSBURG, MD 20878
(39.11877, -77.20648)"
ZEN ASIAN GRILL SUSHI,15602 OLD COLUMBIA PIKE,BURTONSVILLE,MD,20866,BBWLHR654,On Premise,ZEN-AN CORPORATION,No,"15602 OLD COLUMBIA PIKE
BURTONSVILLE, MD 20866
(39.11201, -76.93471)"
HOLA BEER & WINE,8035 SNOUFFER SCHOOL RD.,GAITHERSBURG,MD,20879,DBW275260,On/Off-Premise,"GNS TRADING COMPANY, LLC",Yes,"8035 SNOUFFER SCHOOL RD.
GAITHERSBURG, MD 20879
(39.161, -77.16293)"
GIUSEPPI'S PIZZA PLUS - ROCKVILLE,"199 EAST MONTGOMERY AVE, UNIT L",ROCKVILLE,MD,20850,HBW097,On Premise,"SPENSCO, INC.",No,"199 EAST MONTGOMERY AVE, UNIT L
ROCKVILLE, MD 20850
(39.08409, -77.14997)"
GUAPO'S - RIO,9811 WASHINGTONIAN BLVD,GAITHERSBURG,MD,20878,BBWLHR243,On Premise,GUAPO'S III INC.,No,"9811 WASHINGTONIAN BLVD
GAITHERSBURG, MD 20878
(39.11547, -77.19812)"
COOPER'S HAWK WINERY & RESTAURANT,1403 RESEARCH BLVD.,ROCKVILLE,MD,20850,BDBWL43341,On/Off-Premise,"COOPER'S HAWK ROCKVILLE, LLC",No,"1403 RESEARCH BLVD.
ROCKVILLE, MD 20850
(39.09057, -77.17734)"
CIELO ROJO,7211 CARROLL AVE,TAKOMA PARK,MD,20912,BBWLHR1059436,On Premise,SHILOH RESTAURANT GROUP LLC,No,"7211 CARROLL AVE
TAKOMA PARK, MD 20912
(38.97797, -77.00701)"
CANOPY,940 ROSE AVENUE,NORTH BETHESDA,MD,20852,BBWLHM33201,On Premise,"PNR HOTEL XXVI OPERATOR, LLC",No,"940 ROSE AVENUE
NORTH BETHESDA, MD 20852
(39.05094, -77.11711)"
FALLS ROAD GOLF COURSE,10800 FALLS ROAD,POTOMAC,MD,20854,BBWLCL013,On Premise,MONTGOMERY CO. REV AUTHORITY,No,"10800 FALLS ROAD
POTOMAC, MD 20854
(39.03071, -77.20135)"
MONTGOMERY VILLAGE BEER & WINE,18286 CONTOUR ROAD,GAITHERSBURG,MD,20879,ABW941412,Off Premise,JNJ SPIRITS INC,Yes,"18286 CONTOUR ROAD
GAITHERSBURG, MD 20879
(39.1544, -77.19923)"
AMY TEXMEX BAR AND GRILL,621 SLIGO AVE.,SILVER SPRING,MD,20910,BBWLHR798369,On Premise,AMY TEX MEX BAR & GRILL LLC,No,"621 SLIGO AVE.
SILVER SPRING, MD 20910
(38.99127, -77.01455)"
KNIGHTS OF PYTHIAS,11011 GAME PRESERVE ROAD,GAITHERSBURG,MD,20879,CBWLFV017,On Premise,KNIGHTS OF PYTHIAS,No,"11011 GAME PRESERVE ROAD
GAITHERSBURG, MD 20879
(39.16423, -77.22904)"
TACOMBI,4749 BETHESDA AVE.,BETHESDA,MD,20814,BDBWL490321,On/Off-Premise,TAQUERIA BUENA BETHESDADITA,No,"4749 BETHESDA AVE.
BETHESDA, MD 20814
(38.98097, -77.09478)"
CALIFORNIA PIZZA KITCHEN - GAITH,136 BOARDWALK PLACE,GAITHERSBURG,MD,20878,BBWLHR674,On Premise,"CALIFORNIA PIZZA KITCHEN, INC",No,"136 BOARDWALK PLACE
GAITHERSBURG, MD 20878
(39.11704, -77.19843)"
"SILVER SPRING BEER, WINE & DELI",8746 GEORGIA AVE,SILVER SPRING,MD,20910,DBW081,On/Off-Premise,"RYANALEX, INC.",No,"8746 GEORGIA AVE
SILVER SPRING, MD 20910
(38.99862, -77.03091)"
MAMMA LUCIA - SILVER SPRING,1302 EAST-WEST HIGHWAY,SILVER SPRING,MD,20910,BBWLHR386,On Premise,"IMOSS, INC.",No,"1302 EAST-WEST HIGHWAY
SILVER SPRING, MD 20910
(38.99289, -77.0316)"
OLAZZO,7921 NORFOLK AVE,BETHESDA,MD,20814,BBWLHR242,On Premise,LAZIOS INC,No,"7921 NORFOLK AVE
BETHESDA, MD 20814
(38.98923, -77.0978)"
YAAR SPICE INDIAN KITCHEN,9736 TRAVILLE GATEWAY DR,ROCKVILLE,MD,20850,BBWLHR1519544,On Premise,YAAR SPICE LLC,No,"9736 TRAVILLE GATEWAY DR
ROCKVILLE, MD 20850
(39.09189, -77.20376)"
CINEPOLIS,629 CENTER POINT WAY,GAITHERSBURG,MD,20878,BBWLHR122259,On Premise,"MARYLAND CINEMA INVESTMENTS, LLC",No,"629 CENTER POINT WAY
GAITHERSBURG, MD 20878
(39.12171, -77.23347)"
GENTLEMAN JIM'S,18257 FLOWER HILL WAY,GAITHERSBURG,MD,20879,BBWLHR451301,On Premise,"CAVALIER, LLC",No,"18257 FLOWER HILL WAY
GAITHERSBURG, MD 20879
(39.1576, -77.16214)"
CHIPOTLE MEXICAN GRILL - BETHESDA,7624 OLD GEORGETOWN ROAD,BETHESDA,MD,20814,BBWLHR299,On Premise,"CHIPOTLE MEXICAN GRILL, INC.",No,"7624 OLD GEORGETOWN ROAD
BETHESDA, MD 20814
(38.98608, -77.09643)"
WHEATON WINERY,"2211 UNIVERSITY BLVD, WEST, UNIT B",SILVER SPRING,MD,20902,ABW139,Off Premise,JOHNNY & PRUM INC.,Yes,"2211 UNIVERSITY BLVD, WEST, UNIT B
SILVER SPRING, MD 20902
(39.04164, -77.04855)"
RESIDENCE INN SILVER SPRING,12000 PLUM ORCHARD DRIVE,SILVER SPRING,MD,20904,BBWHR782366,On/Off-Premise,BCOORE SELECT RAVEN 1 TRC LLC,No,"12000 PLUM ORCHARD DRIVE
SILVER SPRING, MD 20904
(39.05167, -76.95334)"
TIJUANA MEXICAN CAFE - ROCKVILLE,2007 VEIRS MILL ROAD,ROCKVILLE,MD,20851,BBWLHR255,On Premise,MARIO CORPORATION,No,"2007 VEIRS MILL ROAD
ROCKVILLE, MD 20851
(39.07502, -77.11667)"
LOS COBANOS RESTAURANT,11210 GRANDVIEW AVE,SILVER SPRING,MD,20902,BBWLHR008,On Premise,"MERSAL, INC.",No,"11210 GRANDVIEW AVE
SILVER SPRING, MD 20902
(39.03877, -77.05233)"
SUSHIJIN,"8555 FENTON STREET, UNIT A",SILVER SPRING,MD,20910,HBW145,On Premise,"SUSHIJIN, LLC",No,"8555 FENTON STREET, UNIT A
SILVER SPRING, MD 20910
(38.99735, -77.02643)"
PIZZERIA DAMARCO,8008 WOODMONT AVE,BETHESDA,MD,20814,BBWLHR109,On Premise,"LIONSGATE RESTAURANT, LLC",No,"8008 WOODMONT AVE
BETHESDA, MD 20814
(38.9903, -77.09652)"
TASTE OF EUROPE,630 QUINCE ORCHARD RD.,GAITHERSBURG,MD,20878,ABW41666,Off Premise,"TASTE OF EUROPE ENTERPRISES, INC.",No,"630 QUINCE ORCHARD RD.
GAITHERSBURG, MD 20878
(39.14118, -77.22141)"
FISH TACO,7945 MACARTHUR BLVD,CABIN JOHN,MD,20818,BBWLHR797,On Premise,"FISH TACO, INC",No,"7945 MACARTHUR BLVD
CABIN JOHN, MD 20818
(38.97497, -77.16256)"
SHOPPERS FOOD WAREHOUSE,18066 MATENY ROAD,GERMANTOWN,MD,20874,DBW013,On/Off-Premise,SHOPPERS FOOD WAREHOUSE CORP.,Yes,"18066 MATENY ROAD
GERMANTOWN, MD 20874
(39.14799, -77.27335)"
PROMENADE MARKET & DELI,5225 POOKS HILL ROAD,BETHESDA,MD,20814,ABW222,Off Premise,"JAE & KIM, LLC",No,"5225 POOKS HILL ROAD
BETHESDA, MD 20814
(39.01646, -77.10696)"
THE 4 CORNERS PUB,10111 SUTHERLAND RD,SILVER SPRING,MD,20901,BBWLHR1503544,On Premise,HOSS & DOG LLC,No,"10111 SUTHERLAND RD
SILVER SPRING, MD 20901
(39.02121, -77.01293)"
BARKING MAD CAFE,239 SPECTRUM AVE,GAITHERSBURG,MD,20879,BBWLHR21715,On Premise,"RENEGADES COFFEE COMPANY, LLC",No,"239 SPECTRUM AVE
GAITHERSBURG, MD 20879
(39.16009, -77.22187)"
3 BROTHERS LOUNGE,2405 PRICE AVENUE,WHEATON,MD,20902,BBWLHR1640544,On Premise,3 BROTHERS LOUNGE LLC,No,"2405 PRICE AVENUE
WHEATON, MD 20902
(39.04027, -77.05055)"
LEDO PIZZA OLNEY,3472 OLNEY LAYTONSVILLE ROAD,OLNEY,MD,20832,HBWHR38339,On Premise,"MHI HOTELS SERVICES, LLC",No,"3472 OLNEY LAYTONSVILLE ROAD
OLNEY, MD 20832
(39.15335, -77.06852)"
EMA ROSSI NEAPOLITAN PIZZERIA,5556 NORBECK RD.,ROCKVILLE,MD,20853,HBWHR117262,On Premise,"RUIZ-HABIG RESTAURANT GROUP, LLC",No,"5556 NORBECK RD.
ROCKVILLE, MD 20853
(39.09481, -77.11099)"
SHEBA ETHIOPIAN RESTAURANT,5071 NICHOLSON LN.,ROCKVILLE,MD,20852,HBWHR249259,On Premise,"TAZZO, INC.",No,"5071 NICHOLSON LN.
ROCKVILLE, MD 20852
(39.04595, -77.1046)"
CAPTAIN'S MARKET,7607 MACARTHUR BLVD.,CABIN JOHN,MD,20818,DBW39382,On/Off-Premise,JAE AND JAE MARKET CORP.,Yes,"7607 MACARTHUR BLVD.
CABIN JOHN, MD 20818
(38.97341, -77.15561)"
RIDGEWELLS,5520 CLIPPER LANE,BETHESDA,MD,20816,CATBWL19232,On Premise,RIDGEWELLS,No,"5520 CLIPPER LANE
BETHESDA, MD 20816
(38.96432, -77.1019)"
ISLAND PRIDE OASIS,617 S. FREDERICK AVENUE,GAITHERSBURG,MD,20877,BBWLHR28015,On Premise,"ISLAND PRIDE OASIS, LLC",No,"617 S. FREDERICK AVENUE
GAITHERSBURG, MD 20877
(39.12887, -77.18526)"
CASPIAN HOUSE OF KABOB,72 MARKET ST,GAITHERSBURG,MD,20878,HBW26446,On Premise,"CASPIAN CAFE, INC",No,"72 MARKET ST
GAITHERSBURG, MD 20878
(39.12404, -77.23427)"
NORTHWEST GOLF COURSE,15711 LAYHILL ROAD,SILVER SPRING,MD,20906,BBWLCL231,On Premise,MONTGOMERY CO. REV. AUTHORITY,No,"15711 LAYHILL ROAD
SILVER SPRING, MD 20906
(39.11363, -77.03205)"
TALBERT'S ICE & BEVERAGE SERVICE,5234 RIVER ROAD,BETHESDA,MD,20816,DBW044,On/Off-Premise,MONTGOMERY ICE CORP.,Yes,"5234 RIVER ROAD
BETHESDA, MD 20816
(38.96492, -77.10468)"
LE PAIN QUOTIDIEN-WILDWOOD,10217 OLD GEORGETOWN RD.,BETHESDA,MD,20814,HBWHR485309,On Premise,"APQ WILDWOOD MD, LLC",No,"10217 OLD GEORGETOWN RD.
BETHESDA, MD 20814
(39.02349, -77.12353)"
ANDY'S PIZZA BETHESDA,4600 EAST WEST HIGHWAY,BETHESDA,MD,20814,BDBWL1024433,On/Off-Premise,"ANDYS PIZZA EAST WEST, LLC",No,"4600 EAST WEST HIGHWAY
BETHESDA, MD 20814
(38.98478, -77.09304)"
EAT A LAO,1327 ROCKVILLE PIKE UNIT I,ROCKVILLE,MD,20852,HBWHR1237534,On Premise,"MOO-KANA, LLC",No,"1327 ROCKVILLE PIKE UNIT I
ROCKVILLE, MD 20852
(39.06826, -77.1303)"
MI LA CAY RESTAURANT,2409 UNIVERSITY BLVD,SILVER SPRING,MD,20902,HBW319,On Premise,MJEJ CORPORATION,No,"2409 UNIVERSITY BLVD
SILVER SPRING, MD 20902
(39.04183, -77.05055)"
JAVA NATION,10516 CONNECTICUT AVENUE,KENSINGTON,MD,20895,HBWHR71919,On Premise,"JAVA NATION, INC",No,"10516 CONNECTICUT AVENUE
KENSINGTON, MD 20895
(39.02869, -77.07713)"
A & H CONVENIENCE MARKET,11235 OAK LEAF DR.,SILVER SPRING,MD,20901,ABW190259,Off Premise,A&H CONVENIENCE MARKET,Yes,"11235 OAK LEAF DR.
SILVER SPRING, MD 20901
(39.04147, -76.99377)"
DUMPLING DISTRICT,19775 FREDERICK ROAD,GERMANTOWN,MD,20876,BBWLHR1732544,On Premise,DD GERMANTOWN INC,No,"19775 FREDERICK ROAD
GERMANTOWN, MD 20876
(39.17873, -77.23803)"
SPRING GARDEN RESTAURANT,1919 SEMINARY RD.,SILVER SPRING,MD,20910,BBWHR42564,On/Off-Premise,"SPRING GARDEN RESTAURANT, INC.",No,"1919 SEMINARY RD.
SILVER SPRING, MD 20910
(39.00881, -77.04105)"
HOOK & REEL CAJUN SEAFOOD & BAR,11160 VEIRS MILL RD.,WHEATON,MD,20902,BBWLHR648359,On Premise,"CAJUN SEAFOOD WHEATON, LLC",No,"11160 VEIRS MILL RD.
WHEATON, MD 20902
(39.03748, -77.05329)"
LEDO PIZZA - BETHESDA,5245 RIVER ROAD,BETHESDA,MD,20816,BBWHR017,On/Off-Premise,"RIVER ROAD PIZZA, INC.",No,"5245 RIVER ROAD
BETHESDA, MD 20816
(38.966, -77.10458)"
QUENCH! BEER & WINE,13423 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904,BDBWLHR1056030,On/Off-Premise,"BREW 1729, INC.",Yes,"13423 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20904
(39.07666, -77.00111)"
PAMA THAI,12525 PARK POTOMAC AVE,POTOMAC,MD,20854,BDBWL949411,On/Off-Premise,PAMA LLC,No,"12525 PARK POTOMAC AVE
POTOMAC, MD 20854
(39.06103, -77.15733)"
THE MANOR AT SILO FALLS,19501 GEORGIA AVENUE,BROOKEVILLE,MD,20833,BBWLHR35520,On Premise,"THE MANOR AT SILO FALLS, LLC",No,"19501 GEORGIA AVENUE
BROOKEVILLE, MD 20833
(39.17713, -77.05812)"
THE BRAZILIAN PLACE,2418 UNIVERSITY BOULEVARD WEST,WHEATON,MD,20902,BBWLHR34405,On Premise,"THE BRAZILIAN PLACE, LLC",No,"2418 UNIVERSITY BOULEVARD WEST
WHEATON, MD 20902
(39.04151, -77.05116)"
RANKEN NOODLE HOUSE,133 COMMERCE SQUARE PL.,GAITHERSBURG,MD,20878,HBWHR441289,On Premise,"RANKEN NOODLE HOUSE, LLC",No,"133 COMMERCE SQUARE PL.
GAITHERSBURG, MD 20878
(39.12236, -77.23385)"
